MIS District ID,MIS District Name,MIS CD Block ID,MIS CD Block Name,CD Block LGD Code,Block Name as per LGD
70,Ambala,1143,Shahzadpur,452,SHAHZADPUR BL
70,Ambala,1141,Naraingarh,450,NARAINGARH BL
70,Ambala,1142,Saha,451,SAHA BL
70,Ambala,1140,Barara,449,BARARA BL
70,Ambala,1139,Ambala-II,448,AMBALA II BL
70,Ambala,1138,Ambala-I,447,AMBALA I BL
81,Bhiwani,1144,Bawani Khera,454,BAWANI KHERA BL
81,Bhiwani,1153,Behal,455,BEHAL BL
81,Bhiwani,1148,Loharu,460,LOHARU BL
81,Bhiwani,1150,Siwani,461,SIWANI BL
81,Bhiwani,1145,Bhiwani,456,BHIWANI BL
81,Bhiwani,1151,Kairu,459,KAIRU BL
81,Bhiwani,1149,Tosham,462,TOSHAM BL
642,Charkhi Dadri,1147,Badhra,453,BADHRA BL
642,Charkhi Dadri,1152,Dadri-I (Part),7092,CHARKHI DADRI BL
642,Charkhi Dadri,1146,Dadri-II,,
88,Faridabad,1155,Ballabgarh,463,BALLABGARH BL
88,Faridabad,1154,Faridabad,464,FARIDABAD BL
78,Fatehabad,1161,Jakhal,472,JAKHAL BL
78,Fatehabad,1158,Bhuna,470,BHUNA BL
78,Fatehabad,1157,Tohana,474,TOHANA BL
78,Fatehabad,1159,Ratia,473,RATIA BL
78,Fatehabad,1156,Bhattu Kalan,469,BHATTU KALAN BL
78,Fatehabad,1160,Fatehabad,471,FATEHABAD BL
86,Gurugram,1165,Sohna,482,SOHNA BL
86,Gurugram,1162,Pataudi,480,PATAUDI BL
86,Gurugram,1163,Farrukhnagar,475,FARRUKH NAGAR BL
86,Gurugram,1164,Gurgaon,477,GURGAON BL
80,Hisar,1172,Narnaund,491,NARNAUND BL
80,Hisar,1171,Hisar-II,490,HISAR II BL
80,Hisar,1170,Hisar-I,489,HISAR I BL
80,Hisar,1169,Adampur,484,ADAMPUR BL
80,Hisar,1168,Agroha,485,AGROHA BL
80,Hisar,1166,Uklana,492,UKLANA BL
80,Hisar,1221,Barwala,486,BARWALA BL
80,Hisar,1174,Hansi-I,487,HANSI I BL
80,Hisar,1173,Hansi-II,488,HANSI II BL
83,Jhajjar,1175,Bahadurgarh,493,BAHADURGARH BL
83,Jhajjar,1179,Salhawas,497,SALHAWAS BL
83,Jhajjar,1176,Beri,494,BERI BL
83,Jhajjar,1177,Jhajjar,495,JHAJJAR BL
83,Jhajjar,1178,Matanhail,496,MATANHAIL BL
77,Jind,1183,Julana,500,JULANA BL
77,Jind,1184,Alewa,498,ALEWA BL
77,Jind,1181,Uchana,504,UCHANA BL
77,Jind,1186,Safidon,503,SAFIDON BL
77,Jind,1185,Pillukhera,502,PILLUKHERA BL
77,Jind,1180,Narwana,501,NARWANA BL
77,Jind,1182,Jind,499,JIND BL
73,Kaithal,1192,Siwan,510,SIWAN BL
73,Kaithal,1191,Kalayat,507,KALAYAT BL
73,Kaithal,1187,Guhla,505,GUHLA BL
73,Kaithal,1190,Rajound,509,RAJOUND BL
73,Kaithal,1188,Kaithal,506,KAITHAL BL
73,Kaithal,1189,Pundri,508,PUNDRI BL
74,Karnal,1198,Nissing At Chirao,516,NISSING AT CHIRAO BL
74,Karnal,1197,Nilokheri,515,NILOKHERI BL
74,Karnal,1195,Indri,513,INDRI BL
74,Karnal,1194,Gharaunda (Part),512,GHARAUNDA  BL
74,Karnal,1193,Assandh,511,ASSANDH BL
74,Karnal,1196,Karnal,514,KARNAL BL
72,Kurukshetra,1200,Shahbad,520,SHAHBAD BL
72,Kurukshetra,1201,Thanesar,521,THANESAR BL
72,Kurukshetra,1203,Babain,517,BABAIN BL
72,Kurukshetra,1199,Ladwa,518,LADWA BL
72,Kurukshetra,1204,Ismailabad,6733,ISMAILABAD BL
72,Kurukshetra,1202,Pehowa,519,PEHOWA BL
84,Mahendragarh,1206,Mahendragarh,524,MAHENDRAGARH BL
84,Mahendragarh,1211,Satnali,6777,SATNALI BL
84,Mahendragarh,1209,Nangal Chaudhry,525,NANGAL CHAUDHRY BL
84,Mahendragarh,1210,Nizampur,6776,NIZAMPUR BL
84,Mahendragarh,1207,Ateli Nangal,522,ATELI NANGAL BL
84,Mahendragarh,1205,Kanina,523,KANINA BL
84,Mahendragarh,1212,Sihma,6731,SIHMA BL
84,Mahendragarh,1208,Narnaul,526,NARNAUL BL
87,Nuh Mewat,1213,Taoru,483,TAORU BL
87,Nuh Mewat,1214,Nuh,479,NUH BL
87,Nuh Mewat,1215,Nagina,478,NAGINA BL
87,Nuh Mewat,1217,Ferozepur Jhirka,476,FEROZEPUR JHIRKA BL
87,Nuh Mewat,1216,Punahana,481,PUNAHANA BL
89,Palwal,1229,Hodal,467,HODAL BL
89,Palwal,1232,Prithla,6734,PRITHLA BL
89,Palwal,1230,Hassanpur,465,HASSANPUR BL
89,Palwal,1228,Palwal,468,PALWAL BL
89,Palwal,1231,Hathin,466,HATHIN BL
69,Panchkula,1221,Barwala,527,BARWALA BL
69,Panchkula,1218,Raipurrani,530,RAIPUR RANI BL
69,Panchkula,1219,Pinjore,529,PINJORE BL
69,Panchkula,1220,Morni,528,MORNI BL
75,Panipat,1223,Israna,532,ISRANA BL
75,Panipat,1224,Madlauda,533,MADLAUDA BL
75,Panipat,1225,Panipat,534,PANIPAT BL
75,Panipat,1226,Samalkha,535,SAMALKHA BL
75,Panipat,1222,Bapoli,531,BAPOLI BL
75,Panipat,1227,Sanoli,7023,SANAULI KHURD BL
85,Rewari,1237,Khol At Rewari,538,KHOL AT REWARI BL
85,Rewari,1235,Jatusana,537,JATUSANA BL
85,Rewari,1233,Bawal,536,BAWAL BL
85,Rewari,1234,Rewari,540,REWARI BL
85,Rewari,1236,Nahar,539,NAHAR BL
82,Rohtak,1242,Sampla,545,SAMPLA BL
82,Rohtak,1239,Maham,543,MAHAM BL
82,Rohtak,1241,Rohtak,544,ROHTAK BL
82,Rohtak,1240,Kalanaur,541,KALANAUR BL
82,Rohtak,1238,Lakhan Majra,542,LAKHAN MAJRA BL
79,Sirsa,1243,Dabwali,547,DABWALI BL
79,Sirsa,1246,Sirsa,552,SIRSA BL
79,Sirsa,1244,Odhan,550,ODHAN BL
79,Sirsa,1247,Nathusari Chopta,549,NATHUSARI CHOPTA BL
79,Sirsa,1248,Rania,551,RANIA BL
79,Sirsa,1249,Ellenabad,548,ELLENABAD BL
79,Sirsa,1245,Baragudha,546,BARAGUDHA BL
76,Sonipat,1257,Rai,558,RAI BL
76,Sonipat,1256,Murthal,6778,MURTHAL BL
76,Sonipat,1251,Gohana,554,GOHANA BL
76,Sonipat,1250,Mundlana,557,MUNDLANA BL
76,Sonipat,1255,Kharkhoda,556,KHARKHODA BL
76,Sonipat,1252,Sonipat,559,SONIPAT BL
76,Sonipat,1254,Ganaur,553,GANAUR BL
76,Sonipat,1253,Kathura,555,KATHURA BL
71,Yamunanagar,1258,Bilaspur,560,BILASPUR BL
71,Yamunanagar,1263,Sadaura,565,SADAURA  BL
71,Yamunanagar,1259,Chhachhrauli,561,CHHACHHRAULI BL
71,Yamunanagar,1260,Jagadhri,562,JAGADHRI BL
71,Yamunanagar,1262,Radaur,564,RADAUR BL
71,Yamunanagar,1261,Mustafabad,563,MUSTAFABAD BL